id,code,name,type,parent_id:id,reconcile,user_type:id
ni_puc_2202,2202,OTROS PRESTAMOS,view,ni_puc_22,FALSE,account.data_account_type_liability
ni_puc_3,3,CAPITAL,view,ni_puc_root,FALSE,account.conf_account_type_equity
ni_puc_31,31,CAPITAL Y RESERVAS,view,ni_puc_3,FALSE,account.conf_account_type_equity
ni_puc_3101,3101,"CAPITAL AUTORIZADO, SUSCRITO Y PAGADO",view,ni_puc_31,FALSE,account.conf_account_type_equity
ni_puc_310101,310101,Capital Suscrito y Autorizado,other,ni_puc_3101,FALSE,account.conf_account_type_equity
ni_puc_310102,310102,Capital Pagado,other,ni_puc_3101,FALSE,account.conf_account_type_equity
ni_puc_310103,310103,Acciones por suscribir,other,ni_puc_3101,FALSE,account.conf_account_type_equity
ni_puc_3102,3102,RESERVA LEGAL,view,ni_puc_31,FALSE,account.conf_account_type_equity
ni_puc_310201,310201,Reserva Legal,other,ni_puc_3102,FALSE,account.conf_account_type_equity
ni_puc_32,32,UTILIDADES Y/O PÉRDIDAS,view,ni_puc_3,FALSE,account.conf_account_type_equity
ni_puc_3201,3201,UTILIDAD (PÉRDIDA) ACUMULADA,view,ni_puc_32,FALSE,account.conf_account_type_equity
ni_puc_3202,3202,UTILIDAD DEL EJERCICIO,view,ni_puc_32,FALSE,account.conf_account_type_equity
ni_puc_3203,3203,CUENTA PUENTE,view,ni_puc_32,FALSE,account.conf_account_type_equity
ni_puc_4,4,INGRESOS,view,ni_puc_root,FALSE,account.data_account_type_income
ni_puc_41,41,VENTAS NACIONALES,view,ni_puc_4,FALSE,account.data_account_type_income
ni_puc_4101,4101,Venta de productos,other,ni_puc_41,FALSE,account.data_account_type_income
ni_puc_4102,4102,Venta de herramientas,other,ni_puc_41,FALSE,account.data_account_type_income
ni_puc_4103,4103,Venta de Servicios,other,ni_puc_41,FALSE,account.data_account_type_income
ni_puc_42,42,VENTAS AL EXTERIOR,view,ni_puc_4,FALSE,account.data_account_type_income
ni_puc_4201,4201,Venta de productos,other,ni_puc_42,FALSE,account.data_account_type_income
ni_puc_5,5,COSTO DE LA MERCANCÍA VENDIDA,view,ni_puc_root,FALSE,l10n_ni.account_type_selling_costs
ni_puc_51,51,COSTO DE VENTAS NACIONALES,view,ni_puc_5,FALSE,l10n_ni.account_type_selling_costs
ni_puc_5101,5101,COSTO DE PRODUCTOS VENTAS NACIONALES,view,ni_puc_51,FALSE,l10n_ni.account_type_selling_costs
ni_puc_510101,510101,Costo de Productos ventas nacionales (Compras),other,ni_puc_5101,FALSE,l10n_ni.account_type_selling_costs
ni_puc_510102,510102,Aranceles productos ventas nacionales,other,ni_puc_5101,FALSE,l10n_ni.account_type_selling_costs
ni_puc_510103,510103,Seguros productos ventas nacionales,other,ni_puc_5101,FALSE,l10n_ni.account_type_selling_costs
ni_puc_510104,510104,Transportes productos ventas nacionales,other,ni_puc_5101,FALSE,l10n_ni.account_type_selling_costs
ni_puc_510105,510105,Servicios aduaneros productos ventas nacionales,other,ni_puc_5101,FALSE,l10n_ni.account_type_selling_costs
ni_puc_5102,5102,COSTO DE HERRAMIENTAS VENDIDAS NACIONALES,view,ni_puc_51,FALSE,l10n_ni.account_type_selling_costs
ni_puc_510201,510201,Costo de Herramientas Ventas Nacionales (Compras),other,ni_puc_5102,FALSE,l10n_ni.account_type_selling_costs
ni_puc_510202,510202,Aranceles herramientas vendidas en el pais,other,ni_puc_5102,FALSE,l10n_ni.account_type_selling_costs
ni_puc_510203,510203,Seguros herramientas vendidas en el pais,other,ni_puc_5102,FALSE,l10n_ni.account_type_selling_costs
ni_puc_510204,510204,Transportes herramientas vendidas en el pais,other,ni_puc_5102,FALSE,l10n_ni.account_type_selling_costs
ni_puc_510205,510205,Servicios aduaneros herramientas vendidas en el pais,other,ni_puc_5102,FALSE,l10n_ni.account_type_selling_costs
ni_puc_5103,5103,COSTO DE SERVICIOS/ ENTRENAMIENTOS NACIONALES,view,ni_puc_51,FALSE,l10n_ni.account_type_selling_costs
ni_puc_510301,510301,Honorarios por venta de servicios/entrenamientos,other,ni_puc_5103,FALSE,l10n_ni.account_type_selling_costs
ni_puc_510302,510302,Hoteles por venta de servicios/entrenamientos,other,ni_puc_5103,FALSE,l10n_ni.account_type_selling_costs
ni_puc_510303,510303,Alimentación por venta de servicios/entrenamientos,other,ni_puc_5103,FALSE,l10n_ni.account_type_selling_costs
ni_puc_510304,510304,Alquiler local por venta de servicios/entrenamientos,other,ni_puc_5103,FALSE,l10n_ni.account_type_selling_costs
